"group"	"long"	"lat"
1	-133.366409301758	58.4241600036621
1	-132.268051147461	57.1630821228027
1	-132.049758911133	56.9860954284668
1	-131.879699707031	56.7400093078613
1	-130.249176025391	56.0994453430176
1	-130.013061523438	55.9116859436035
1	-130.004989624023	55.9216537475586
1	-130.015808105469	55.8649864196777
1	-130.014434814453	55.4294281005859
1	-130.140533447266	55.0483551025391
1	-129.789733886719	55.506950378418
1	-129.620300292969	55.4594497680664
1	-129.982742309570	55.0008544921875
1	-129.845016479492	55.0041770935059
1	-130.151947021484	54.8455810546875
1	-130.126098632812	54.7083587646484
1	-130.274719238281	54.7005653381348
1	-130.066696166992	54.4605560302734
1	-130.336395263672	54.5738868713379
1	-130.400833129883	54.4486389160156
1	-130.332763671875	54.3297500610352
1	-130.283905029297	54.2291946411133
1	-129.782501220703	54.2297096252441
1	-129.821685791016	54.2183074951172
1	-129.793914794922	54.0091781616211
1	-130.0908203125	54.0716896057129
1	-129.379135131836	53.4272270202637
1	-128.956130981445	53.8824996948242
1	-128.695541381836	53.9761199951172
1	-128.603576660156	53.8616409301758
1	-128.817535400391	53.6502799987793
1	-128.007202148438	53.364429473877
1	-128.397491455078	53.4386291503906
1	-128.866683959961	53.5349998474121
1	-128.868347167969	53.4594268798828
1	-128.639175415039	53.2144317626953
1	-128.497253417969	52.8980445861816
1	-128.139434814453	52.9027976989746
1	-128.137771606445	52.8377647399902
1	-128.329711914062	52.3802604675293
1	-127.969154357910	52.5216636657715
1	-127.939186096191	52.3466873168945
1	-127.928581237793	52.304744720459
1	-127.721916198730	52.354419708252
1	-126.988868713379	52.7391624450684
1	-127.013626098633	52.6258277893066
1	-127.188323974609	52.3855323791504
1	-126.841964721680	52.385814666748
1	-126.901679992676	52.2377662658691
1	-126.969734191895	52.2752952575684
1	-127.814735412598	51.9291687011719
1	-127.732231140137	51.5338859558105
1	-127.489700317383	51.6721992492676
1	-127.364448547363	51.7683410644531
1	-126.635528564453	51.7697143554688
1	-127.260292053223	51.6589050292969
1	-127.681121826172	51.3255577087402
1	-127.498870849609	51.3238983154297
1	-127.720832824707	51.2577781677246
1	-127.599998474121	51.0980377197266
1	-127.477493286133	51.0975227355957
1	-127.157493591309	50.8677673339844
1	-126.932205200195	50.8680534362793
1	-126.527244567871	50.956916809082
1	-126.470008850098	50.9511299133301
1	-126.176651000977	50.9519348144531
1	-126.448341369629	50.9077606201172
1	-126.166679382324	50.7736282348633
1	-126.213607788086	50.7038993835449
1	-125.961967468262	50.7049865722656
1	-125.773056030273	50.7055625915527
1	-125.599159240723	51.0819358825684
1	-125.636413574219	50.818603515625
1	-126.1591796875	50.6416778564453
1	-126.139991760254	50.5983047485352
1	-126.174697875977	50.5699996948242
1	-126.076957702637	50.4864044189453
1	-125.895561218262	50.488353729248
1	-125.769447326660	50.4855461120605
1	-125.537796020508	50.669979095459
1	-125.549438476562	50.493049621582
1	-125.390556335449	50.495002746582
1	-125.238319396973	50.495002746582
1	-125.099433898926	50.4999847412109
1	-124.897811889648	50.8680534362793
1	-124.892478942871	50.7694435119629
1	-125.065856933594	50.4197120666504
1	-124.973037719727	50.4202842712402
1	-124.671371459961	50.4258422851562
1	-124.555290222168	50.4230346679688
1	-124.575286865234	50.3994293212891
1	-124.686676025391	50.0478057861328
1	-124.525848388672	49.8316879272461
1	-124.030815124512	49.8775253295898
1	-123.909164428711	50.0394401550293
1	-123.946922302246	50.1694450378418
1	-123.866371154785	50.1691589355469
1	-123.853309631348	50.0335998535156
1	-123.841667175293	49.700023651123
1	-123.534172058105	49.7013931274414
1	-123.739463806152	49.6063995361328
1	-124.021125793457	49.726375579834
1	-123.724449157715	49.4388656616211
1	-123.263618469238	49.5849723815918
1	-123.273071289062	49.3549842834473
1	-122.861686706543	49.4483184814453
1	-123.134414672852	49.306396484375
1	-123.138885498047	49.1072387695312
1	-123.095283508301	49.0025024414062
1	-123.035530090332	49.0016403198242
1	-123.039192199707	49.0052528381348
1	-122.762802124023	49.0019302368164
1	-95.1541900634766	48.9994659423828
1	-95.1527633666992	49.3766441345215
1	-94.799705505371	49.1666564941406
1	-94.7041931152344	48.8641891479492
1	-93.8263626098633	48.6044692993164
1	-93.3614120483398	48.6085968017578
1	-92.4575119018555	48.3833618164062
1	-92.289176940918	48.3210830688477
1	-91.4416580200195	48.0472068786621
1	-91.0369186401367	48.1897048950195
1	-90.8380432128906	48.208610534668
1	-90.7080383300781	48.0952796936035
1	-90.5622253417969	48.0949974060059
1	-90.389419555664	48.0972290039062
1	-89.5789108276367	48.0028038024902
1	-89.5794372558594	48.0105400085449
1	-89.2200164794922	48.4271965026855
1	-88.8339004516602	48.4633483886719
1	-88.8294296264648	48.3438873291016
1	-88.3497467041016	48.8297004699707
1	-88.4524765014648	48.5444221496582
1	-88.1369552612305	48.8077545166016
