# BEAST v1.5.3, Build r2376
# Generated Sun Nov 22 17:32:48 CET 2009 [seed=1258907565004]
state	rates1	rates2	rates3	rates4	rates5	rates6	rates7	rates8	rates9	rates10	rates11	rates12	rates13	rates14	rates15	rates16	rates17	rates18	rates19	rates20	rates21	indicators1	indicators2	indicators3	indicators4	indicators5	indicators6	indicators7	indicators8	indicators9	indicators10	indicators11	indicators12	indicators13	indicators14	indicators15	indicators16	indicators17	indicators18	indicators19	indicators20	indicators21	nonZeroRateCount	geoSiteModel.mu
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	21.0	0.1
10000	1.2581321235354366	0.22495398557837346	0.511048430122912	1.2913263272363784	0.11029208596068245	1.2344205878533643	1.670492717434967	0.17233214993130855	1.4488025899449928	3.2709598720763946	4.667647067349368	0.13305963829751422	0.049566709966832156	0.42201592492711093	3.996450333195128	0.43453581127489516	0.24722786597853336	0.7757782517627416	0.9070240426610626	1.6533029145772273	0.3505022374997808	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	9.0	0.4879995941828991
20000	3.5684740567550377	0.9518169854097112	0.5148832333304147	1.0016465403220727	0.22942113952517493	0.6899278967154482	0.39805366652031654	2.407905049114338	3.0536579285345917	0.2231675745981591	0.18313863155170845	0.7625433802057449	0.2830483764112682	0.10273927540842281	0.11075312952484859	0.12832205807642405	1.2348619838393207	1.0771752408755801	0.6563163808075718	0.12734764089803174	1.7924833159001323	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	7.0	1.2227138813314404
30000	1.8765116727156563	0.19983390144453747	1.4104580059990934	0.02254710811066311	1.0879624841306337	0.19157924108604113	1.2099771418156433	1.7518560068790623	0.4868377252933103	2.5681638729943415	0.31317941326255166	0.26281145679072676	0.5276179431258807	0.45224622814021576	0.13104281764600495	1.3601473795659307	0.40521444685350705	4.251851183507272	1.1833411001403051	1.24233297531714	1.2262713821423548	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	8.0	0.3318968732544055
40000	0.86735897497777	2.2469091284681535	2.7193262633994406	1.710930647067515	2.4268026856344367	1.0970225161046914	0.8653025359589772	1.1466829621399877	3.3913736487424226	0.49680365066259047	0.18340161984300205	0.5455623135863691	0.12377759686063762	0.2684793272668446	0.26651662712612584	0.8715000386297944	1.4294822144955506	1.035732152179485	0.6492350826433014	1.194136784599356	0.7891202126584995	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	8.0	0.6669058994251099
50000	1.785747283035237	0.32332184849485424	0.1137221882616213	0.43838196081585085	0.6271849965735636	0.46370936922282385	0.8986960432173191	0.13667627143104522	0.025634466238330784	0.23998362030992612	1.3190979788823833	0.12361657698885221	0.07171877343145383	0.13402225838015383	0.009782371054544315	0.933260995256185	0.9228067570047959	2.572084646578032	2.302005227644643	0.44487219100823966	2.514036433528154	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	8.0	1.4336471862158089
60000	1.1498238320001994	2.185916139991417	0.6296538506833022	1.5141730400891582	0.48013006653548973	0.9107108002799935	0.06507454159266654	0.020779715190764582	1.3571383659831135	0.08151407830036367	0.5339331507061509	0.3177326785572527	0.07853057021717198	0.4283709158677761	2.6492871044744	0.19977713644669262	0.7468722685836275	0.24950870979702772	0.07652709081406835	2.6986810248442508	1.137935757841434	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	0.4562028091489942
70000	0.4520346888992164	0.4210466567763278	0.41590349286693507	0.04473862052376021	0.6212909258963932	0.9451416608137811	0.32515247700393646	3.5776532587340966	0.7500631996861298	0.03279657689366114	0.12686083618484428	0.7658300583041172	0.012789991062676786	0.07750049902689574	1.276266564753083	1.3835479033035742	1.3102111838487995	0.2954178401635886	1.9534885778967863	1.5524989058810803	0.48738310888758307	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	8.0	0.8224812677109525
80000	1.397713282975381	0.5237641829810891	0.48184929805504084	0.39234450786246994	0.22045203626335225	1.226322463009608	0.12195358912687858	1.5000646111753329	1.2425087874119116	0.7636102050890529	0.8547673550392284	0.16332780036616945	0.592307743820676	0.15602667258990072	0.1734076858153092	2.561215357900516	0.14861034623013278	0.7163300787765661	0.9839950181227969	0.8259261263550887	0.13150264671938652	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	7.0	1.0465770256631644
90000	2.5571592983236626	2.1172536128628265	0.6118121801198422	0.4890503033240437	0.1644334642869089	0.8596240757561827	0.42624820895515153	0.7569368723854567	2.202395304314729	1.1210414449535573	3.44285089373026	0.7816376831731056	0.3508163856596546	0.5140238279251215	1.9843054226686097	0.46365836603237803	2.3569051318199468	0.6197689677752226	0.6505915161056041	0.5214033315844598	0.14302434865716201	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	0.3075781512025128
